--- Log opened Sat Jul 17 16:32:12 2010
16:32 Starting query in Bitlbee with MilosTesic
16:32 MilosTesic| gde si vojnice...voljno
16:34 playahater| ohoo .. saborac ..
16:34 playahater| pa majka mu stara ..
16:34 playahater| :)
16:34 MilosTesic| ova brzina pa nikako...majka mu stara
16:35 playahater| brzina + vrutjina .. najgora kombinacija ..
16:35 MilosTesic| e da znas..jel mrdas sta ima
16:36 playahater| evo .. radno ..
16:36 playahater| borba .. :)
16:36 playahater| kod tebze?
16:36 MilosTesic| nije valjda..pa zar i subotom..ovi danasnji preduzetnici nemaju dusu
16:36 MilosTesic| ;)
16:37 playahater| 24/7
16:37 playahater| :)
16:37 playahater| si josh u bgdu?
16:37 MilosTesic| jel razvijas biznis siris poslovanje i to... kako ide posao
16:38 MilosTesic| jesam jesam radim tu sam
16:39 playahater| pa netju da se zalim .. :) .. shirimo malo sporo .. ali sigurno .. :)
16:40 MilosTesic| jel imas atest si se dokopao
16:40 playahater| ae pa da smislimo neki vops ..
16:40 MilosTesic| moze vops
16:40 MilosTesic| biraj mesto vreme i oruzje dolazim .)
16:40 playahater| .. vops uvek moze .. :)
16:41 playahater| ae moze .. pingujem te ..
16:41 MilosTesic| cao
16:41 playahater| dobijash koordinate uskoro .. ;)
16:41 playahater| mashi vexonu .. :)
16:41 playahater| ae ..
16:41 MilosTesic| to to uzdravlje
16:41 Closing query with MilosTesic
--- Log closed Sat Jul 17 16:41:55 2010
